GeneID,padj,pvalue,stat,baseMean,Gene Symbol,Description
80380,9.68E-17,2.00E-19,86.107391,276.63,PDCD1LG2,programmed cell death 1 ligand 2
79651,1.24E-16,2.65E-19,85.550429,1789.19,RHBDF2,rhomboid 5 homolog 2
1512,1.67E-16,3.66E-19,84.905634,4615.58,CTSH,cathepsin H
105377663,1.98E-16,4.41E-19,84.528733,62.57,LOC105377663,uncharacterized LOC105377663
3431,2.25E-16,5.19E-19,84.202891,1760.08,SP110,SP110 nuclear body protein
57580,2.25E-16,5.11E-19,84.233976,3288.26,PREX1,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1"
9844,2.34E-16,5.50E-19,84.087921,1254.3,ELMO1,engulfment and cell motility 1
389289,2.55E-16,6.11E-19,83.877313,135.4,ANXA2R,annexin A2 receptor
283385,2.74E-16,6.68E-19,83.699833,63.11,MORN3,MORN repeat containing 3
951,3.94E-16,9.78E-19,82.937818,2053.19,CD37,CD37 molecule
10384,3.97E-16,1.02E-18,82.858964,2581.54,BTN3A3,butyrophilin subfamily 3 member A3
3624,3.97E-16,1.00E-18,82.88746,476.69,INHBA,inhibin subunit beta A
80774,4.15E-16,1.08E-18,82.738343,1598.8,LIMD2,LIM domain containing 2
321,4.78E-16,1.26E-18,82.423724,352.75,APBA2,amyloid beta precursor protein binding family A member 2
2113,4.86E-16,1.31E-18,82.35534,7526.06,ETS1,"ETS proto-oncogene 1, transcription factor"
27128,5.32E-16,1.45E-18,82.144714,1478.23,CYTH4,cytohesin 4
100505812,6.35E-16,1.76E-18,81.759599,248.34,CARD8-AS1,CARD8 antisense RNA 1
8514,6.37E-16,1.79E-18,81.725105,1624.75,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2
2687,7.58E-16,2.17E-18,81.346845,1429.15,GGT5,gamma-glutamyltransferase 5
397,8.08E-16,2.34E-18,81.189393,6129.09,ARHGDIB,Rho GDP dissociation inhibitor beta
107984225,9.13E-16,2.68E-18,80.917714,9.55,LOC107984225,uncharacterized LOC107984225
958,1.28E-15,3.83E-18,80.206537,969.9,CD40,CD40 molecule
474344,1.69E-15,5.12E-18,79.626994,1797.57,GIMAP6,"GTPase, IMAP family member 6"
115361,1.85E-15,5.66E-18,79.425445,2820.12,GBP4,guanylate binding protein 4
112616,2.00E-15,6.21E-18,79.242047,602.98,CMTM7,CKLF like MARVEL transmembrane domain containing 7
6374,2.07E-15,6.62E-18,79.112507,1520.03,CXCL5,C-X-C motif chemokine ligand 5
199786,2.07E-15,6.56E-18,79.13008,495.84,NIBAN3,niban apoptosis regulator 3
100527949,2.27E-15,7.34E-18,78.907275,1094.81,GIMAP1-GIMAP5,GIMAP1-GIMAP5 readthrough
100861514,2.69E-15,8.80E-18,78.542819,46.21,ELMO1-AS1,ELMO1 antisense RNA 1
6404,3.19E-15,1.06E-17,78.170511,1404.15,SELPLG,selectin P ligand
1378,3.36E-15,1.15E-17,78.016173,1008.29,CR1,complement C3b/C4b receptor 1 (Knops blood group)
26051,3.36E-15,1.14E-17,78.026239,1834.6,PPP1R16B,protein phosphatase 1 regulatory subunit 16B
100233209,3.48E-15,1.20E-17,77.925065,271.18,PCED1B-AS1,PCED1B antisense RNA 1
11024,4.27E-15,1.49E-17,77.491963,172.21,LILRA1,leukocyte immunoglobulin like receptor A1
4952,4.56E-15,1.61E-17,77.335367,3075.33,OCRL,OCRL inositol polyphosphate-5-phosphatase
100506115,4.70E-15,1.68E-17,77.250684,177.05,PELATON,plaque enriched lncRNA in atherosclerotic and inflammatory bowel macrophage regulation
9535,5.35E-15,1.93E-17,76.970145,1084.29,GMFG,glia maturation factor gamma
9509,5.70E-15,2.09E-17,76.817901,2171.99,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2
3501,5.73E-15,2.12E-17,76.784903,148444.5,IGHG2,immunoglobulin heavy constant gamma 2 (G2m marker)
23533,5.87E-15,2.20E-17,76.714096,1129.84,PIK3R5,phosphoinositide-3-kinase regulatory subunit 5
963,5.89E-15,2.25E-17,76.664224,3602.16,CD53,CD53 molecule
9120,5.89E-15,2.24E-17,76.672716,163.48,SLC16A6,solute carrier family 16 member 6
1890,6.52E-15,2.52E-17,76.439712,3149.59,TYMP,thymidine phosphorylase
9858,6.75E-15,2.64E-17,76.347525,1204.75,PPP1R26,protein phosphatase 1 regulatory subunit 26
2268,7.66E-15,3.03E-17,76.073757,1340.44,FGR,"FGR proto-oncogene, Src family tyrosine kinase"
100526771,8.01E-15,3.20E-17,75.961681,767.49,SMIM35,small integral membrane protein 35
25975,8.25E-15,3.33E-17,75.883886,156.58,EGFL6,EGF like domain multiple 6
283888,1.03E-14,4.20E-17,75.417705,69.18,IL21R-AS1,IL21R antisense RNA 1
79836,1.08E-14,4.44E-17,75.307878,1078.55,LONRF3,LON peptidase N-terminal domain and ring finger 3
717,1.21E-14,5.08E-17,75.036644,4217.61,C2,complement C2
752,1.21E-14,5.04E-17,75.051582,2546.3,FMNL1,formin like 1
158248,1.24E-14,5.27E-17,74.964639,28.39,TTC16,tetratricopeptide repeat domain 16
55340,1.25E-14,5.36E-17,74.931064,965.22,GIMAP5,"GTPase, IMAP family member 5"
84230,1.29E-14,5.63E-17,74.831405,1015.69,LRRC8C,leucine rich repeat containing 8 VRAC subunit C
53831,1.29E-14,5.64E-17,74.827565,98.79,GPR84,G protein-coupled receptor 84
4588,1.50E-14,6.64E-17,74.502037,1717.51,MUC6,"mucin 6, oligomeric mucus/gel-forming"
7133,1.69E-14,7.56E-17,74.242041,3437.63,TNFRSF1B,TNF receptor superfamily member 1B
5272,1.69E-14,7.68E-17,74.210351,1446.91,SERPINB9,serpin family B member 9
3082,1.69E-14,7.62E-17,74.227231,528.47,HGF,hepatocyte growth factor
26207,1.82E-14,8.33E-17,74.04803,899.07,PITPNC1,phosphatidylinositol transfer protein cytoplasmic 1
9750,1.89E-14,8.72E-17,73.956592,1572.29,RIPOR2,RHO family interacting cell polarization regulator 2
9051,2.30E-14,1.07E-16,73.541308,516.47,PSTPIP1,proline-serine-threonine phosphatase interacting protein 1
166647,2.33E-14,1.10E-16,73.497411,3453.29,ADGRA3,adhesion G protein-coupled receptor A3
101926963,2.38E-14,1.13E-16,73.434335,62.98,PRKAR1B-AS1,PRKAR1B antisense RNA 1
168537,2.91E-14,1.39E-16,73.018258,1080.79,GIMAP7,"GTPase, IMAP family member 7"
54518,2.98E-14,1.44E-16,72.953867,895.96,APBB1IP,amyloid beta precursor protein binding family B member 1 interacting protein
107985063,3.15E-14,1.54E-16,72.823968,26.61,LOC107985063,
26279,3.57E-14,1.76E-16,72.555518,443.86,PLA2G2D,phospholipase A2 group IID
286336,3.69E-14,1.83E-16,72.473354,726.28,FAM78A,family with sequence similarity 78 member A
3112,4.18E-14,2.09E-16,72.206073,450.96,HLA-DOB,"major histocompatibility complex, class II, DO beta"
9938,4.53E-14,2.29E-16,72.029073,1161.29,ARHGAP25,Rho GTPase activating protein 25
974,4.71E-14,2.39E-16,71.937146,568.15,CD79B,CD79b molecule
285966,5.14E-14,2.65E-16,71.736773,378.88,TCAF2,TRPM8 channel associated factor 2
3587,5.14E-14,2.65E-16,71.730133,2403.64,IL10RA,interleukin 10 receptor subunit alpha
4818,5.18E-14,2.70E-16,71.698359,346.32,NKG7,natural killer cell granule protein 7
7453,5.70E-14,3.00E-16,71.487819,8637.36,WARS1,tryptophanyl-tRNA synthetase 1
100419170,5.90E-14,3.12E-16,71.404235,71.29,LOC100419170,toll like receptor 2 pseudogene
3635,6.12E-14,3.27E-16,71.313696,2374.66,INPP5D,inositol polyphosphate-5-phosphatase D
286530,6.13E-14,3.30E-16,71.297154,748.47,P2RY8,P2Y receptor family member 8
9466,6.45E-14,3.50E-16,71.177616,489.98,IL27RA,interleukin 27 receptor subunit alpha
105373024,6.92E-14,3.78E-16,71.022728,67.63,LOC105373024,uncharacterized LOC105373024
8698,7.93E-14,4.37E-16,70.735082,253.06,S1PR4,sphingosine-1-phosphate receptor 4
115992,8.15E-14,4.52E-16,70.665998,1836.83,RNF166,ring finger protein 166
7293,8.44E-14,4.72E-16,70.580539,233.02,TNFRSF4,TNF receptor superfamily member 4
79930,9.64E-14,5.43E-16,70.299298,1062.74,DOK3,docking protein 3
59341,1.01E-13,5.72E-16,70.196416,83.38,TRPV4,transient receptor potential cation channel subfamily V member 4
3936,1.08E-13,6.17E-16,70.042313,9266.42,LCP1,lymphocyte cytosolic protein 1
6402,1.09E-13,6.29E-16,70.005589,1844.01,SELL,selectin L
150771,1.09E-13,6.30E-16,70.002092,130.28,ITPRIPL1,ITPRIP like 1
29995,1.16E-13,6.79E-16,69.85176,1156.63,LMCD1,LIM and cysteine rich domains 1
135,1.27E-13,7.47E-16,69.660433,183.69,ADORA2A,adenosine A2a receptor
29933,1.30E-13,7.72E-16,69.595077,409.81,GPR132,G protein-coupled receptor 132
5142,1.31E-13,7.81E-16,69.571492,1964.62,PDE4B,phosphodiesterase 4B
9744,1.51E-13,9.07E-16,69.272934,1921.92,ACAP1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
3428,1.56E-13,9.44E-16,69.193021,5655.7,IFI16,interferon gamma inducible protein 16
1838,1.58E-13,9.64E-16,69.149954,312.79,DTNB,dystrobrevin beta
400581,1.60E-13,9.84E-16,69.109437,262.52,GRAPL,GRB2 related adaptor protein like
79415,1.67E-13,1.03E-15,69.016935,3353.16,CYBC1,cytochrome b-245 chaperone 1
105371461,1.71E-13,1.07E-15,68.938216,85.88,LOC105371461,replaced by ID 9447
101929638,1.71E-13,1.07E-15,68.939598,85.09,LOC101929638,uncharacterized LOC101929638
105372397,1.95E-13,1.23E-15,68.663992,115.22,MAP4K1-AS1,MAP4K1 antisense RNA 1
100131315,1.98E-13,1.27E-15,68.597485,147.98,GREM1-AS1,GREM1 antisense RNA 1
283663,1.98E-13,1.26E-15,68.608876,656.62,LINC00926,long intergenic non-protein coding RNA 926
348110,1.98E-13,1.27E-15,68.592252,4348.88,ARPIN,actin related protein 2/3 complex inhibitor
9976,2.06E-13,1.33E-15,68.505979,821.76,CLEC2B,C-type lectin domain family 2 member B
11009,2.50E-13,1.63E-15,68.100633,166.21,IL24,interleukin 24
84957,2.53E-13,1.66E-15,68.062503,556.05,RELT,RELT TNF receptor
6772,2.57E-13,1.70E-15,68.021283,11349.58,STAT1,signal transducer and activator of transcription 1
64098,2.67E-13,1.77E-15,67.933388,1917.84,PARVG,parvin gamma
943,2.67E-13,1.79E-15,67.917302,103.63,TNFRSF8,TNF receptor superfamily member 8
23171,2.99E-13,2.01E-15,67.679553,4362.21,GPD1L,glycerol-3-phosphate dehydrogenase 1 like
8778,3.06E-13,2.07E-15,67.622135,194.54,SIGLEC5,sialic acid binding Ig like lectin 5
1493,3.21E-13,2.19E-15,67.513308,327.67,CTLA4,cytotoxic T-lymphocyte associated protein 4
10859,3.36E-13,2.30E-15,67.411341,982.45,LILRB1,leukocyte immunoglobulin like receptor B1
128611,3.41E-13,2.35E-15,67.367278,322.63,ZNF831,zinc finger protein 831
56833,3.53E-13,2.45E-15,67.285827,1187.43,SLAMF8,SLAM family member 8
203100,3.64E-13,2.54E-15,67.215546,34.31,HTRA4,HtrA serine peptidase 4
3003,3.89E-13,2.73E-15,67.067011,268.12,GZMK,granzyme K
7351,3.93E-13,2.78E-15,67.035512,2712.66,UCP2,uncoupling protein 2
5724,4.13E-13,2.94E-15,66.924045,1115.3,PTAFR,platelet activating factor receptor
9447,4.58E-13,3.27E-15,66.707818,325.9,AIM2,absent in melanoma 2
9806,4.80E-13,3.45E-15,66.600725,2811.91,SPOCK2,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2"
105375304,4.87E-13,3.53E-15,66.555432,69.51,SNX10-AS1,SNX10 antisense RNA 1
100505746,4.87E-13,3.54E-15,66.549541,483.87,ITGB2-AS1,ITGB2 antisense RNA 1
6688,4.93E-13,3.60E-15,66.514118,1546.55,SPI1,Spi-1 proto-oncogene
5820,5.20E-13,3.82E-15,66.396156,219.24,PVT1,Pvt1 oncogene
170371,5.55E-13,4.13E-15,66.242714,1152.33,TMEM273,transmembrane protein 273
126432,5.55E-13,4.12E-15,66.248025,438.56,RINL,Ras and Rab interactor like
1536,5.70E-13,4.26E-15,66.178492,4297.3,CYBB,cytochrome b-245 beta chain
50615,6.17E-13,4.64E-15,66.007311,243.05,IL21R,interleukin 21 receptor
249,6.50E-13,4.91E-15,65.893361,938.72,ALPL,"alkaline phosphatase, biomineralization associated"
4067,6.53E-13,4.97E-15,65.870815,2329.55,LYN,"LYN proto-oncogene, Src family tyrosine kinase"
115701,6.95E-13,5.31E-15,65.736889,167.39,ALPK2,alpha kinase 2
3503,7.40E-13,5.69E-15,65.600387,28760.84,IGHG4,immunoglobulin heavy constant gamma 4 (G4m marker)
165631,7.84E-13,6.07E-15,65.472339,1093.94,PARP15,poly(ADP-ribose) polymerase family member 15
388436,7.86E-13,6.11E-15,65.456991,54.98,LOC388436,uncharacterized protein ENSP00000382042
5133,8.04E-13,6.28E-15,65.401344,127.5,PDCD1,programmed cell death 1
374470,8.25E-13,6.49E-15,65.337726,16.66,C12orf42,chromosome 12 open reading frame 42
107984118,8.44E-13,6.67E-15,65.283148,36.96,LOC107984118,uncharacterized LOC107984118
353514,8.50E-13,6.75E-15,65.258793,339.3,LILRA5,leukocyte immunoglobulin like receptor A5
121268,8.51E-13,6.80E-15,65.243883,57.1,RHEBL1,RHEB like 1
64744,8.61E-13,6.95E-15,65.199757,5717.6,SMAP2,small ArfGAP2
79772,8.61E-13,6.94E-15,65.202021,657.38,MCTP1,multiple C2 and transmembrane domain containing 1
4283,9.74E-13,7.90E-15,64.943902,2065.96,CXCL9,C-X-C motif chemokine ligand 9
5551,9.88E-13,8.06E-15,64.903771,424.59,PRF1,perforin 1
84328,1.02E-12,8.40E-15,64.821202,2653.83,LZIC,leucine zipper and CTNNBIP1 domain containing
10332,1.02E-12,8.38E-15,64.826562,97.86,CLEC4M,C-type lectin domain family 4 member M
389840,1.09E-12,9.01E-15,64.681017,337.39,MAP3K15,mitogen-activated protein kinase kinase kinase 15
57713,1.15E-12,9.61E-15,64.552733,996.89,SFMBT2,Scm like with four mbt domains 2
107984945,1.21E-12,1.02E-14,64.426859,17.35,LOC107984945,replaced by ID 64744
259307,1.21E-12,1.02E-14,64.426856,411.64,IL4I1,interleukin 4 induced 1
29774,1.21E-12,1.02E-14,64.440092,141.12,POM121L9P,"POM121 transmembrane nucleoporin like 9, pseudogene"
7409,1.31E-12,1.11E-14,64.260333,981.61,VAV1,vav guanine nucleotide exchange factor 1
374443,1.57E-12,1.34E-14,63.892464,298.61,LOC374443,C-type lectin domain family 2 member D pseudogene
79999,1.58E-12,1.35E-14,63.865107,29.93,GRAPL-AS1,GRAPL antisense RNA 1
374403,1.61E-12,1.39E-14,63.812329,958.32,TBC1D10C,TBC1 domain family member 10C
50943,1.68E-12,1.46E-14,63.721953,174.66,FOXP3,forkhead box P3
149628,1.78E-12,1.55E-14,63.594522,223.39,PYHIN1,pyrin and HIN domain family member 1
339192,1.93E-12,1.68E-14,63.431098,109.37,FMNL1-DT,FMNL1 divergent transcript
112268426,2.14E-12,1.89E-14,63.19839,543.54,LOC112268426,
105373331,2.14E-12,1.89E-14,63.197709,42,LOC105373331,uncharacterized LOC105373331
541471,2.23E-12,1.97E-14,63.111618,455.71,MIR4435-2HG,MIR4435-2 host gene
940,2.24E-12,2.00E-14,63.088907,396.86,CD28,CD28 molecule
101928045,2.27E-12,2.03E-14,63.053962,85.05,LOC101928045,uncharacterized LOC101928045
3601,2.28E-12,2.05E-14,63.037075,905.34,IL15RA,interleukin 15 receptor subunit alpha
7454,2.29E-12,2.07E-14,63.019473,1023.35,WAS,WASP actin nucleation promoting factor
153090,2.33E-12,2.12E-14,62.974203,6943.63,DAB2IP,DAB2 interacting protein
9993,2.43E-12,2.22E-14,62.877308,4654.87,DGCR2,DiGeorge syndrome critical region gene 2
8320,2.45E-12,2.24E-14,62.857816,102.45,EOMES,eomesodermin
5054,2.48E-12,2.28E-14,62.822949,6085,SERPINE1,serpin family E member 1
9046,2.62E-12,2.42E-14,62.703107,620.33,DOK2,docking protein 2
10943,2.74E-12,2.54E-14,62.605093,1793.22,MSL3,MSL complex subunit 3
51393,2.77E-12,2.58E-14,62.574624,930.44,TRPV2,transient receptor potential cation channel subfamily V member 2
164668,2.95E-12,2.77E-14,62.437266,57.71,APOBEC3H,apolipoprotein B mRNA editing enzyme catalytic subunit 3H
124460,2.96E-12,2.78E-14,62.423898,531.04,SNX20,sorting nexin 20
3133,2.98E-12,2.82E-14,62.401167,44896.17,HLA-E,"major histocompatibility complex, class I, E"
55013,2.99E-12,2.84E-14,62.38459,726.71,MCUB,mitochondrial calcium uniporter dominant negative subunit beta
1807,3.09E-12,2.95E-14,62.311795,65.22,DPYS,dihydropyrimidinase
3111,3.17E-12,3.03E-14,62.252005,2228.01,HLA-DOA,"major histocompatibility complex, class II, DO alpha"
257106,3.45E-12,3.33E-14,62.067379,2496.36,ARHGAP30,Rho GTPase activating protein 30
79882,3.45E-12,3.33E-14,62.064636,3362.43,ZC3H14,zinc finger CCCH-type containing 14
100288077,3.47E-12,3.37E-14,62.04391,952.87,WTAPP1,Wilms tumor 1 associated protein pseudogene 1
2209,3.52E-12,3.43E-14,62.008007,295.05,FCGR1A,Fc gamma receptor Ia
23601,3.58E-12,3.50E-14,61.965783,65.59,CLEC5A,C-type lectin domain containing 5A
10630,4.08E-12,4.01E-14,61.694333,1819.89,PDPN,podoplanin
240,4.19E-12,4.15E-14,61.627592,1773.26,ALOX5,arachidonate 5-lipoxygenase
1089,4.19E-12,4.15E-14,61.624067,160.17,CEACAM4,CEA cell adhesion molecule 4
401563,4.32E-12,4.30E-14,61.552884,137.05,LINC02908,long intergenic non-protein coding RNA 2908
91937,4.39E-12,4.40E-14,61.511181,135.13,TIMD4,T cell immunoglobulin and mucin domain containing 4
10695,4.54E-12,4.56E-14,61.439615,1873.27,CNPY3,canopy FGF signaling regulator 3
7805,4.74E-12,4.78E-14,61.343429,9152.25,LAPTM5,lysosomal protein transmembrane 5
105378645,4.75E-12,4.81E-14,61.331797,38.13,TFAP2E-AS1,TFAP2E antisense RNA 1
401492,4.80E-12,4.89E-14,61.299824,160.18,LINC01235,long intergenic non-protein coding RNA 1235
80896,4.81E-12,4.91E-14,61.288788,757.32,NPL,N-acetylneuraminate pyruvate lyase
101926893,5.30E-12,5.43E-14,61.087978,18.08,LIX1-AS1,LIX1 and RIOK2 antisense RNA 1
3702,5.37E-12,5.53E-14,61.052689,946.45,ITK,IL2 inducible T cell kinase
695,5.52E-12,5.71E-14,60.989363,890.25,BTK,Bruton tyrosine kinase
6503,5.73E-12,5.95E-14,60.904542,2037.95,SLA,Src like adaptor
51816,5.84E-12,6.08E-14,60.861503,4150.84,ADA2,adenosine deaminase 2
10287,6.22E-12,6.51E-14,60.724789,584.74,RGS19,regulator of G protein signaling 19
100,6.57E-12,6.90E-14,60.609882,528.98,ADA,adenosine deaminase
64426,6.74E-12,7.11E-14,60.55012,3244.32,SUDS3,"SDS3 homolog, SIN3A corepressor complex component"
8530,6.74E-12,7.14E-14,60.540645,471.16,CST7,cystatin F
920,7.03E-12,7.47E-14,60.450091,3202.42,CD4,CD4 molecule
64005,7.54E-12,8.05E-14,60.301381,944.55,MYO1G,myosin IG
105369723,7.56E-12,8.11E-14,60.286895,36.12,LINC02422,long intergenic non-protein coding RNA 2422
64127,7.61E-12,8.19E-14,60.26642,257.81,NOD2,nucleotide binding oligomerization domain containing 2
9473,8.06E-12,8.70E-14,60.145228,2440.33,THEMIS2,thymocyte selection associated family member 2
2633,8.10E-12,8.79E-14,60.125721,4646.86,GBP1,guanylate binding protein 1
55333,8.23E-12,8.96E-14,60.086742,4579.37,SYNJ2BP,synaptojanin 2 binding protein
57520,8.24E-12,9.01E-14,60.075836,248.24,HECW2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
944,8.58E-12,9.41E-14,59.989533,413.69,TNFSF8,TNF superfamily member 8
221472,9.65E-12,1.06E-13,59.746585,1878.26,FGD2,"FYVE, RhoGEF and PH domain containing 2"
89846,9.85E-12,1.09E-13,59.697398,889.37,FGD3,"FYVE, RhoGEF and PH domain containing 3"
9435,1.01E-11,1.12E-13,59.636031,662.8,CHST2,carbohydrate sulfotransferase 2
2003,1.01E-11,1.13E-13,59.62695,1884.57,ELK2AP,"ETS transcription factor ELK2A, pseudogene"
348645,1.06E-11,1.19E-13,59.516452,233.42,MIR3667HG,MIR3667 host gene
4068,1.06E-11,1.19E-13,59.511652,190.23,SH2D1A,SH2 domain containing 1A
10870,1.09E-11,1.22E-13,59.465482,485.36,HCST,hematopoietic cell signal transducer
56911,1.14E-11,1.29E-13,59.35917,273.95,MAP3K7CL,MAP3K7 C-terminal like
6397,1.18E-11,1.34E-13,59.275251,4561.79,SEC14L1,SEC14 like lipid binding 1
60489,1.23E-11,1.40E-13,59.195383,872.89,APOBEC3G,apolipoprotein B mRNA editing enzyme catalytic subunit 3G
10203,1.26E-11,1.45E-13,59.130736,1039.3,CALCRL,calcitonin receptor like receptor
1846,1.32E-11,1.51E-13,59.039149,414.88,DUSP4,dual specificity phosphatase 4
101927730,1.35E-11,1.55E-13,58.984897,51.35,SERPINB9-AS1,SERPINB9 antisense RNA 1
11213,1.40E-11,1.61E-13,58.910452,1751.29,IRAK3,interleukin 1 receptor associated kinase 3
51176,1.46E-11,1.69E-13,58.813479,446.75,LEF1,lymphoid enhancer binding factor 1
1475,1.48E-11,1.73E-13,58.773163,211.48,CSTA,cystatin A
101929107,1.49E-11,1.74E-13,58.764529,51.71,LOC101929107,uncharacterized LOC101929107
105369325,1.51E-11,1.77E-13,58.722945,72.83,LOC105369325,uncharacterized LOC105369325
7291,1.63E-11,1.92E-13,58.55865,211.25,TWIST1,twist family bHLH transcription factor 1
10333,1.73E-11,2.04E-13,58.437272,319.03,TLR6,toll like receptor 6
3984,1.79E-11,2.12E-13,58.362638,1099.74,LIMK1,LIM domain kinase 1
101927880,1.96E-11,2.34E-13,58.169462,18.36,LINC02669,long intergenic non-protein coding RNA 2669
5730,1.97E-11,2.35E-13,58.161741,5441.42,PTGDS,prostaglandin D2 synthase
317762,2.26E-11,2.71E-13,57.875546,4152.26,CCDC85C,coiled-coil domain containing 85C
28690,2.29E-11,2.75E-13,57.843792,13.16,TRAV3,T cell receptor alpha variable 3
55248,2.38E-11,2.87E-13,57.757217,233.72,PACC1,proton activated chloride channel 1
1794,2.38E-11,2.88E-13,57.748475,2039.55,DOCK2,dedicator of cytokinesis 2
5026,2.61E-11,3.17E-13,57.557352,551.51,P2RX5,purinergic receptor P2X 5
286,2.65E-11,3.23E-13,57.522568,104.13,ANK1,ankyrin 1
101928123,2.79E-11,3.41E-13,57.412621,69.3,PAPLN-AS1,PAPLN antisense RNA 1
972,2.80E-11,3.44E-13,57.394872,82583.59,CD74,CD74 molecule
