Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"APOE","Apolipoprotein E","Protein Coding","P02649","59","GC19P113251","27.4352149963379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","63","GC07P055019","27.4045257568359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","P37231","61","GC03P012287","27.2668323516846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","P05412","58","GC01M058780","27.164665222168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","Q16236","60","GC02M177227","26.8683624267578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"VDR","Vitamin D Receptor","Protein Coding","P11473","57","GC12M047841","26.6971893310547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR"
"IL10","Interleukin 10","Protein Coding","P22301","56","GC01M206767","26.4992656707764","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","61","GC10P109367","26.4527282714844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"CFTR","CF Transmembrane Conductance Regulator","Protein Coding","P13569","61","GC07P117287","25.877046585083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","P15692","57","GC06P043770","25.8761749267578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"IFNG","Interferon Gamma","Protein Coding","P01579","59","GC12M068154","25.8738651275635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","29","GC11P027466","25.8071823120117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","P42898","56","GC01M011785","25.6328506469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","P29474","59","GC07P158097","25.5086326599121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"TMX2-CTNND1","TMX2-CTNND1 Readthrough (NMD Candidate)","RNA Gene","","23","GC11P057712","25.4182891845703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMX2-CTNND1"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","61","GC22M021759","25.2996215820313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","61","GC03P179148","25.2373867034912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","P19838","61","GC04P102501","25.0183429718018","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","P01116","61","GC12M029682","24.5702495574951","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","59","GC18M063123","24.4532871246338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"MLH1","MutL Homolog 1","Protein Coding","P40692","58","GC03P036993","24.3935546875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","62","GC14M104769","24.3519668579102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"ABCB1","ATP Binding Cassette Subfamily B Member 1","Protein Coding","P08183","60","GC07M087504","24.3185367584229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","P04626","63","GC17P039687","24.2916793823242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","62","GC17M042313","24.2355537414551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"LINC01672","Long Intergenic Non-Protein Coding RNA 1672","RNA Gene","","19","GC01P020797","24.2271842956543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01672"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","P10145","53","GC04P073740","24.0802383422852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"SP1","Sp1 Transcription Factor","Protein Coding","P08047","55","GC12P053380","23.9405651092529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1"
"WT1","WT1 Transcription Factor","Protein Coding","P19544","56","GC11M032365","23.7622947692871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WT1"
"SOD1","Superoxide Dismutase 1","Protein Coding","P00441","61","GC21P031659","23.7566833496094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1"
"INS","Insulin","Protein Coding","P01308","56","GC11M002159","23.593692779541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"LDLR","Low Density Lipoprotein Receptor","Protein Coding","P01130","60","GC19P112317","22.9465579986572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","62","GC03P041194","22.8216438293457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","P06400","57","GC13P048303","22.6714477539063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"MSH2","MutS Homolog 2","Protein Coding","P43246","57","GC02P047403","22.5352020263672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2"
"CERNA3","Competing Endogenous LncRNA 3 For MiR-645","RNA Gene","","19","GC08P056323","22.4342041015625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3"
"FOS","Fos Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","P01100","59","GC14P075278","22.3955001831055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P15056","62","GC07M140773","22.3272666931152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"HBB","Hemoglobin Subunit Beta","Protein Coding","P68871","54","GC11M012029","22.2485008239746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB"
"CDH1","Cadherin 1","Protein Coding","P12830","58","GC16P068737","22.1146278381348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","P23560","58","GC11M027654","22.0342750549316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","P38936","58","GC06P134985","21.9700317382813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"MEG3","Maternally Expressed 3","RNA Gene","","34","GC14P116735","21.7879524230957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3"
"CALCA","Calcitonin Related Polypeptide Alpha","Protein Coding","P06881","52","GC11M014966","21.7267799377441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA"
"SOD2","Superoxide Dismutase 2","Protein Coding","P04179","56","GC06M159669","21.7260723114014","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2"
"BAX","BCL2 Associated X, Apoptosis Regulator","Protein Coding","Q07812","60","GC19P048954","21.7119693756104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX"
"APC","APC Regulator Of WNT Signaling Pathway","Protein Coding","P25054","58","GC05P112707","21.7075805664063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC"
"PAX6","Paired Box 6","Protein Coding","P26367","57","GC11M031784","21.6410694122314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX6"
"EP300","E1A Binding Protein P300","Protein Coding","Q09472","61","GC22P070686","21.5844459533691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300"
"TRIM21","Tripartite Motif Containing 21","Protein Coding","P19474","52","GC11M004384","21.4152946472168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM21"
"LMNA","Lamin A/C","Protein Coding","P02545","58","GC01P156082","21.3685874938965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA"
"MAPK8","Mitogen-Activated Protein Kinase 8","Protein Coding","P45983","58","GC10P048306","21.2944679260254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8"
"TLR4","Toll Like Receptor 4","Protein Coding","O00206","60","GC09P117704","21.1317481994629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"ESR2","Estrogen Receptor 2","Protein Coding","Q92731","58","GC14M064084","20.9867000579834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR2"
"HFE","Homeostatic Iron Regulator","Protein Coding","Q30201","54","GC06P026087","20.970552444458","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","O14746","60","GC05M001253","20.806282043457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"CCND1","Cyclin D1","Protein Coding","P24385","62","GC11P069641","20.7630958557129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"SLC6A4","Solute Carrier Family 6 Member 4","Protein Coding","P31645","57","GC17M030194","20.6696453094482","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A4"
"CAT","Catalase","Protein Coding","P04040","60","GC11P034460","20.5520973205566","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT"
"RO60","Ro60, Y RNA Binding Protein","Protein Coding","P10155","45","GC01P193059","20.284875869751","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RO60"
"MIR7-3HG","MIR7-3 Host Gene","RNA Gene","Q8N6C7","34","GC19P112015","20.2667064666748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7-3HG"
"MDM2","MDM2 Proto-Oncogene","Protein Coding","Q00987","62","GC12P068808","20.1968402862549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2"
"GSTM1","Glutathione S-Transferase Mu 1","Protein Coding","P09488","51","GC01P109687","20.1567878723145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTM1"
"AGT","Angiotensinogen","Protein Coding","P01019","58","GC01M230690","20.101863861084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT"
"CHEK2","Checkpoint Kinase 2","Protein Coding","O96017","63","GC22M028687","20.0595664978027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2"
"COMT","Catechol-O-Methyltransferase","Protein Coding","P21964","60","GC22P019941","20.0116062164307","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT"
"SERPINE1","Serpin Family E Member 1","Protein Coding","P05121","59","GC07P101127","19.9674892425537","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","P05019","57","GC12M102395","19.8955497741699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"GJB2","Gap Junction Protein Beta 2","Protein Coding","P29033","54","GC13M020187","19.8736534118652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB2"
"SMAD4","SMAD Family Member 4","Protein Coding","Q13485","61","GC18P051028","19.8004913330078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"NF1","Neurofibromin 1","Protein Coding","P21359","56","GC17P031094","19.7556953430176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"XIST","X Inactive Specific Transcript","RNA Gene","","31","GC0XM073820","19.7296047210693","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIST"
"TSC2","TSC Complex Subunit 2","Protein Coding","P49815","60","GC16P080239","19.7258625030518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","P13500","58","GC17P034255","19.7180156707764","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","P25445","59","GC10P109381","19.6986923217773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"LPL","Lipoprotein Lipase","Protein Coding","P06858","59","GC08P019901","19.6902122497559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL"
"IL4","Interleukin 4","Protein Coding","P05112","55","GC05P132673","19.6811847686768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"CALR","Calreticulin","Protein Coding","P27797","60","GC19P012938","19.6564674377441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALR"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","P01911","55","GC06M093834","19.6172733306885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"DMD","Dystrophin","Protein Coding","P11532","54","GC0XM031097","19.5806674957275","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMD"
"NR5A1","Nuclear Receptor Subfamily 5 Group A Member 1","Protein Coding","Q13285","58","GC09M124481","19.561731338501","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR5A1"
"MAPK14","Mitogen-Activated Protein Kinase 14","Protein Coding","Q16539","60","GC06P134977","19.4887790679932","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14"
"COL1A1","Collagen Type I Alpha 1 Chain","Protein Coding","P02452","58","GC17M078201","19.4385509490967","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A1"
"MMP9","Matrix Metallopeptidase 9","Protein Coding","P14780","62","GC20P046008","19.2282829284668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"STAT1","Signal Transducer And Activator Of Transcription 1","Protein Coding","P42224","61","GC02M190908","19.1392421722412","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1"
"IL2","Interleukin 2","Protein Coding","P60568","55","GC04M122451","19.109245300293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"NR3C1","Nuclear Receptor Subfamily 3 Group C Member 1","Protein Coding","P04150","58","GC05M143277","18.9582138061523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1"
"EGR1","Early Growth Response 1","Protein Coding","P18146","53","GC05P138465","18.9440994262695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGR1"
"BMP2","Bone Morphogenetic Protein 2","Protein Coding","P12643","55","GC20P006767","18.9252033233643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2"
"HNF4A","Hepatocyte Nuclear Factor 4 Alpha","Protein Coding","P41235","58","GC20P044355","18.9116096496582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF4A"
"PTGS2","Prostaglandin-Endoperoxide Synthase 2","Protein Coding","P35354","58","GC01M186671","18.8882331848145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2"
"ERCC2","ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit","Protein Coding","P18074","56","GC19M045349","18.8746967315674","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC2"
"RUNX1","RUNX Family Transcription Factor 1","Protein Coding","Q01196","59","GC21M034787","18.856954574585","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUNX1"
"ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","Q15848","55","GC03P186842","18.8261032104492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ"
"NOS2","Nitric Oxide Synthase 2","Protein Coding","P35228","58","GC17M027756","18.7985954284668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2"
"MECP2","Methyl-CpG Binding Protein 2","Protein Coding","P51608","55","GC0XM154021","18.7604904174805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MECP2"
"VHL","Von Hippel-Lindau Tumor Suppressor","Protein Coding","P40337","56","GC03P021526","18.7374401092529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VHL"
"HMOX1","Heme Oxygenase 1","Protein Coding","P09601","61","GC22P035380","18.7092895507813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"SMAD5-AS1","SMAD5 Antisense RNA 1","RNA Gene","Q9Y6J3","29","GC05M136129","18.685359954834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD5-AS1"
"RET","Ret Proto-Oncogene","Protein Coding","P07949","63","GC10P044403","18.5646514892578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET"
"RELA","RELA Proto-Oncogene, NF-KB Subunit","Protein Coding","Q04206","60","GC11M065653","18.492696762085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA"
"APP","Amyloid Beta Precursor Protein","Protein Coding","P05067","59","GC21M025880","18.4524040222168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APP"
"DNMT1","DNA Methyltransferase 1","Protein Coding","P26358","61","GC19M010133","18.4210872650146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT1"
"EZH2","Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit","Protein Coding","Q15910","61","GC07M148807","18.4152717590332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","P01112","61","GC11M011817","18.390697479248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"CREBBP","CREB Binding Protein","Protein Coding","Q92793","62","GC16M020489","18.2938613891602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","P08253","61","GC16P082389","18.2834987640381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"GSTP1","Glutathione S-Transferase Pi 1","Protein Coding","P09211","59","GC11P067583","18.2759475708008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTP1"
"CASP3","Caspase 3","Protein Coding","P42574","58","GC04M184627","18.2579040527344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"CFH","Complement Factor H","Protein Coding","P08603","56","GC01P196621","18.0822448730469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFH"
"XRCC1","X-Ray Repair Cross Complementing 1","Protein Coding","P18887","54","GC19M043543","18.0651741027832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRCC1"
"DRD2","Dopamine Receptor D2","Protein Coding","P14416","58","GC11M113409","18.0305881500244","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD2"
"GCK","Glucokinase","Protein Coding","P35557","58","GC07M045340","18.0193004608154","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCK"
"MAOA","Monoamine Oxidase A","Protein Coding","P21397","58","GC0XP043654","17.9772682189941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAOA"
"PRKN","Parkin RBR E3 Ubiquitin Protein Ligase","Protein Coding","O60260","58","GC06M161348","17.9687976837158","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN"
"IL1RN","Interleukin 1 Receptor Antagonist","Protein Coding","P18510","59","GC02P143688","17.9621429443359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN"
"EGF","Epidermal Growth Factor","Protein Coding","P01133","60","GC04P109912","17.9492454528809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","P16410","57","GC02P203866","17.9207916259766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"IL1A","Interleukin 1 Alpha","Protein Coding","P01583","54","GC02M112773","17.8947486877441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A"
"CDK1","Cyclin Dependent Kinase 1","Protein Coding","P06493","56","GC10P060772","17.8561229705811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK1"
"SMARCA4","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4","Protein Coding","P51532","60","GC19P112312","17.7455997467041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P10721","62","GC04P054657","17.6707286834717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"PPARGC1A","PPARG Coactivator 1 Alpha","Protein Coding","Q9UBK2","55","GC04M023755","17.6313705444336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1A"
"GSTT1","Glutathione S-Transferase Theta 1","Protein Coding","P30711","41","GC22Mi00270","17.6232624053955","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTT1"
"IGF2","Insulin Like Growth Factor 2","Protein Coding","P01344","58","GC11M011904","17.5815353393555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2"
"MAP2K1","Mitogen-Activated Protein Kinase Kinase 1","Protein Coding","Q02750","63","GC15P066386","17.4831390380859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1"
"NOTCH1","Notch Receptor 1","Protein Coding","P46531","61","GC09M138715","17.443790435791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","P11362","63","GC08M038400","17.4151782989502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"CYP1A1","Cytochrome P450 Family 1 Subfamily A Member 1","Protein Coding","P04798","56","GC15M074719","17.376932144165","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1A1"
"SMAD3","SMAD Family Member 3","Protein Coding","P84022","61","GC15P067063","17.3642635345459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","P11802","62","GC12M059354","17.3578224182129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
"HNF1A","HNF1 Homeobox A","Protein Coding","P20823","55","GC12P120978","17.3378791809082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A"
"PARP1","Poly(ADP-Ribose) Polymerase 1","Protein Coding","P09874","59","GC01M226360","17.2786140441895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1"
"AGTR1","Angiotensin II Receptor Type 1","Protein Coding","P30556","60","GC03P148697","17.2063522338867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1"
"MSH6","MutS Homolog 6","Protein Coding","P52701","58","GC02P047695","17.1437587738037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6"
"ICAM1","Intercellular Adhesion Molecule 1","Protein Coding","P05362","59","GC19P112296","17.1135082244873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1"
"EMSLR","E2F1 MRNA Stabilizing LncRNA","RNA Gene","","19","GC07P106459","17.0484027862549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMSLR"
"APOB","Apolipoprotein B","Protein Coding","P04114","55","GC02M020956","17.0263175964355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB"
"RMRP","RNA Component Of Mitochondrial RNA Processing Endoribonuclease","RNA Gene","","31","GC09M035655","17.0091037750244","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RMRP"
"CDK2","Cyclin Dependent Kinase 2","Protein Coding","P24941","60","GC12P055966","16.9867782592773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK2"
"NFKBIA","NFKB Inhibitor Alpha","Protein Coding","P25963","59","GC14M035401","16.9365749359131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIA"
"KMT2A","Lysine Methyltransferase 2A","Protein Coding","Q03164","56","GC11P118436","16.82102394104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2A"
"MAPT","Microtubule Associated Protein Tau","Protein Coding","P10636","59","GC17P045894","16.8032817840576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPT"
"TP63","Tumor Protein P63","Protein Coding","Q9H3D4","55","GC03P189598","16.787540435791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP63"
"CYP1B1","Cytochrome P450 Family 1 Subfamily B Member 1","Protein Coding","Q16678","56","GC02M038066","16.7318801879883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1B1"
